2026-02-10T18:17:06.979Z | SB/BIL/0052 | 830
2026-02-10T18:13:32.711Z | SB/BIL/0051 | 430
2026-02-10T18:11:47.104Z | SB/BIL/0050 | 936.5
2026-02-10T18:08:25.007Z | SB/BIL/0049 | 177
2026-02-10T18:05:51.209Z | SB/BIL/0048 | 129.5
2026-02-10T18:03:26.496Z | SB/BIL/0047 | 799
2026-02-10T18:00:20.078Z | SB/BIL/0046 | 290
2026-02-10T17:58:15.244Z | SB/BIL/0045 | 171
2026-02-10T17:57:13.383Z | SB/BIL/0044 | 180
2026-02-09T18:53:56.545Z | SB/BIL/0043 | 960
2026-02-09T18:52:05.343Z | SB/BIL/0042 | 920
2026-02-09T18:50:44.862Z | SB/BIL/0041 | 570
2026-02-09T18:48:03.229Z | SB/BIL/0040 | 801
2026-02-09T18:46:52.263Z | SB/BIL/0039 | 302.5
2026-02-09T18:45:05.943Z | SB/BIL/0038 | 590
2026-02-09T18:44:02.462Z | SB/BIL/0037 | 1228
2026-02-09T18:41:30.507Z | SB/BIL/0036 | 590
2026-02-09T18:40:34.573Z | SB/BIL/0035 | 1287
2026-02-09T18:35:27.601Z | SB/BIL/0034 | 5.7
2026-02-09T18:34:54.228Z | SB/BIL/0012 | 19.3
2026-02-07T16:15:16.469Z | SB/BIL/0003 | 534
2026-02-07T16:14:20.236Z | SB/BIL/0001 | 149
